ts	imei	mwra	p.android.chrome	p.android.documentsui	p.android.packageinstaller	p.android.settings	p.android.gm	p.android.externalstorage	p.system	p.android.gms	p.dogalize	p.process.gapps	p.katana	p.google	p.notifier	p.android.defcontainer	p.android.vending	p.inputmethod.latin	p.simulator	p.olauncher	p.browser.provider	p.gms.persistent
2018-05-05 10:31:00	3590433799317661115	1.00000	10.24313	4.64696	10.64816	12.19351	9.16678	12.07371	10.64103	74.53367	0.00146	60.98667	50.12697	27.45173	52.47950	13.07274	99.86876	79.40476	36.84937	92.32105	30.67545	33.41083
2018-05-05 10:32:00	3590433799317662303	1.00000	14.14458	9.75543	12.73070	16.14512	10.99433	16.47848	15.27622	38.80770	0.07136	61.02292	53.99358	34.79069	32.86905	99.20742	17.64920	66.89090	75.77526	92.91138	3.52552	67.37506
2018-05-05 10:33:00	863033069630348354	1.00000	14.09481	8.58467	10.50014	15.20856	12.31340	18.62115	13.19282	49.30954	0.06786	44.07182	54.72313	36.98939	11.80441	10.17079	43.04863	44.85595	50.76635	0.19492	71.77969	8.69117
2018-05-05 10:34:00	359043379931766510	0.00000	12.73301	14.22871	16.73934	16.48274	8.60795	11.89408	15.49960	66.10327	0.01742	50.18275	65.62055	52.32986	76.40946	41.81992	13.43466	82.98490	3.68642	65.76124	33.24210	74.79424
2018-05-05 10:35:00	3590433799317662386	0.00000	13.09304	13.13956	10.30920	12.33480	12.97508	13.11711	14.18978	74.48661	0.02498	62.52447	57.60110	40.56329	29.13194	13.02510	31.34876	57.48296	58.48136	89.28607	10.13517	73.70886
2018-05-05 10:36:00	3590433799317661123	1.00000	15.33549	16.15189	12.07707	11.99807	11.32292	15.79802	7.71443	42.38042	0.23467	54.44799	90.30427	45.31142	35.15146	47.82372	14.79262	78.06889	26.23348	55.09740	15.60285	22.13304
2018-05-05 10:37:00	863033069630348644	0.00000	13.27385	16.52986	14.69769	11.04316	16.09375	7.72804	14.94229	42.58309	0.02988	56.90352	66.78979	50.05165	29.98257	81.18343	54.34803	10.38909	27.26626	97.19124	49.64667	12.83519
2018-05-05 10:38:00	8630330696303481990	0.00000	15.04268	13.00862	15.83593	8.22479	13.77844	8.21873	11.28021	32.64674	0.17501	60.89329	45.07990	26.37719	40.50258	26.40782	27.85048	32.69148	64.35949	12.15154	91.44406	63.87244
2018-05-05 10:39:00	359043379931766866	0.00000	12.00836	14.60876	12.62292	11.12250	12.71536	13.88105	14.06268	46.95099	0.00844	54.34060	60.94901	47.55569	49.96764	69.73237	72.49938	52.31219	34.15517	47.52728	72.93098	77.27363
2018-05-05 10:40:00	3590433799317661701	0.00000	13.72821	18.03650	10.27836	12.27516	12.25273	14.68514	14.21597	39.43233	0.04713	75.31209	58.90055	40.85168	62.51557	0.17472	74.11967	15.73279	90.08141	58.95227	48.53873	23.04376
2018-05-05 10:41:00	8630330696303481800	0.00000	16.00241	13.46405	10.55110	10.28861	16.22251	17.59702	16.64556	58.88335	0.45707	70.53931	67.43179	56.40594	36.40366	78.79293	24.65628	27.75898	89.10815	42.59827	33.17833	95.68332
2018-05-05 10:42:00	8630330696303482469	1.00000	14.41833	14.41453	14.22714	15.05688	9.64773	11.65319	14.00093	45.82136	0.09374	57.51467	51.72109	42.95891	68.72953	52.05846	62.02517	74.94717	8.78698	51.18070	35.51390	14.07912
2018-05-05 10:43:00	8630330696303481636	0.00000	16.89613	14.52521	13.44487	9.23081	15.35359	11.11418	13.26509	47.07131	1.11710	66.63220	59.67810	53.44196	50.55519	18.43460	86.04718	30.75507	40.81727	58.08426	93.35712	18.77549
2018-05-05 10:44:00	8630330696303482345	1.00000	12.69678	13.29952	16.96429	13.94288	11.16887	12.94837	15.19158	44.04568	0.01679	45.03031	63.67037	54.88138	41.65413	45.27993	3.32559	87.91332	38.56903	53.69319	96.79400	97.16369
2018-05-05 10:45:00	8630330696303482055	1.00000	9.36727	10.58718	9.45307	11.42568	10.64516	14.51750	8.30061	46.74960	0.00062	65.17457	65.81833	66.66878	43.46227	21.97527	42.46383	37.16021	59.87876	61.85374	51.09088	36.40016
2018-05-05 10:46:00	863033069630348230	1.00000	12.52138	14.67232	10.87013	12.36129	7.58242	11.86921	15.14610	61.40491	0.01409	61.05283	67.15042	53.49437	29.55627	23.03017	42.33878	70.49138	81.30150	71.26669	86.41118	18.93956
2018-05-05 10:47:00	863033069630348180	1.00000	12.90555	5.97038	11.69186	15.56793	12.29798	18.23796	15.26407	44.97177	0.02066	37.85269	69.62592	46.22676	33.25854	2.95378	1.26502	27.20860	83.41428	38.16795	5.79896	72.76670
2018-05-05 10:48:00	3590433799317661800	0.00000	8.82011	16.57662	15.01929	13.15825	14.83401	8.41629	14.78789	46.25813	0.00038	56.04565	75.52376	38.36535	68.93055	77.29285	38.51083	94.53793	73.95864	32.57300	0.39266	0.29413
2018-05-05 10:49:00	8630330696303481099	0.00000	14.65488	13.14808	16.07782	10.03159	13.15164	11.41672	12.34031	63.14266	0.11885	62.15953	74.95403	45.29088	65.99585	23.08529	32.27355	8.02386	32.88600	70.43240	71.22365	21.15701
2018-05-05 10:50:00	3590433799317662089	1.00000	10.47640	8.97768	8.73158	8.21712	8.94858	12.82032	12.91498	55.30973	0.00185	55.02688	44.74108	62.13066	59.63713	22.39878	55.54403	14.10427	21.24930	96.82765	2.26211	96.96006
2018-05-05 10:51:00	8630330696303482394	0.00000	14.52202	12.96358	16.23940	11.17243	14.60204	8.99194	12.82840	55.80360	0.10403	63.56242	57.31776	42.10035	37.07143	8.15446	34.13027	44.64537	14.18853	3.12431	10.27745	41.04162
2018-05-05 10:52:00	3590433799317661289	1.00000	14.58013	8.71348	11.88992	13.85296	11.38343	14.89835	15.83131	70.73277	0.11028	68.95379	56.14350	61.70150	51.64240	53.39335	25.04422	51.76356	40.17016	75.37212	71.25250	1.34275
2018-05-05 10:53:00	3590433799317661453	1.00000	17.37858	10.45849	15.47133	11.11121	10.78312	12.63753	13.23188	52.23926	1.80970	62.41005	60.35613	38.74238	42.44558	26.71598	49.15822	49.68921	53.85539	17.56776	16.52671	87.35779
2018-05-05 10:54:00	8630330696303482170	1.00000	12.49381	10.40715	9.91110	8.18827	9.46021	14.14902	14.09005	53.21753	0.01373	57.28673	70.64926	38.17721	41.32678	84.59215	13.29582	10.99783	36.24102	66.47553	16.99995	39.69704
2018-05-05 10:55:00	863033069630348248	1.00000	16.93251	7.50953	13.75678	13.21176	12.00258	12.19444	15.73486	60.69057	1.15843	30.77496	67.85082	57.38978	50.90299	9.81867	76.65764	69.16433	30.95702	46.93047	74.59642	21.80619
2018-05-05 10:56:00	863033069630348875	1.00000	8.65064	11.37125	13.12710	10.25004	12.81191	16.20471	8.98582	63.64634	0.00034	43.58144	60.87775	39.57716	60.07227	28.43510	58.69811	40.35767	13.12859	63.15490	24.43660	92.23651
2018-05-05 10:57:00	8630330696303481107	0.00000	12.16012	16.74852	12.94754	9.86514	14.03476	10.66867	12.76223	53.86274	0.00987	69.69732	52.31563	53.15771	53.90096	63.74501	14.94253	77.55677	97.17744	65.16304	42.66056	15.25194
2018-05-05 10:58:00	8630330696303481800	1.00000	13.29502	13.38064	18.10857	11.83552	12.24800	13.58984	14.85569	60.97676	0.03052	46.62791	61.11370	27.21753	28.91928	1.51240	48.86633	54.73774	35.95532	34.89988	50.54786	80.28082
2018-05-05 10:59:00	3590433799317661776	0.00000	18.94341	11.12201	14.36687	9.15047	13.23095	14.11731	15.93825	68.71339	8.65347	65.83907	68.67352	55.48828	24.04161	95.77012	74.38167	51.49871	34.55853	21.40699	32.48119	14.16924
2018-05-05 11:00:00	359043379931766312	0.00000	12.86863	14.42767	12.00818	11.06195	12.99365	15.40938	13.85084	58.18583	0.01993	58.22478	44.80250	57.56905	55.99647	27.23491	51.75542	29.94245	92.80255	5.51882	95.47841	98.46616
2018-05-05 11:01:00	863033069630348073	0.00000	15.27011	13.93560	10.22597	10.41938	15.85368	14.46590	12.82873	64.51018	0.21978	44.93548	63.91355	48.74293	49.76107	96.91435	93.07005	70.93223	28.07484	59.76412	70.64412	36.52471
2018-05-05 11:02:00	359043379931766361	0.00000	14.72670	16.82726	9.16735	9.71586	12.08717	10.61577	12.44993	46.36751	0.12764	46.18822	57.19209	28.48466	35.78913	34.39702	47.18528	71.22617	74.87669	25.05158	15.49344	76.29620
2018-05-05 11:03:00	863033069630348792	0.00000	10.60671	13.73987	13.79822	13.55554	9.61743	9.14254	15.42853	46.83876	0.00217	57.12045	52.21742	35.99765	63.63267	30.07348	22.55969	7.27529	62.15337	46.21265	34.17039	3.65834
2018-05-05 11:04:00	359043379931766288	0.00000	14.35678	14.43965	6.96781	11.27070	12.57990	13.11197	12.49245	50.67690	0.08820	53.33325	32.97826	61.82888	63.29390	2.04909	39.82742	34.22731	44.50011	39.65381	6.10924	85.22212
2018-05-05 11:05:00	3590433799317662097	1.00000	11.74509	10.86490	14.57590	15.34341	11.46801	13.26390	14.78668	38.69409	0.00649	42.51754	64.44250	63.65283	49.83033	50.04685	58.53416	85.08901	46.50199	94.11825	44.00978	32.45645
2018-05-05 11:06:00	8630330696303482261	1.00000	9.59232	9.30021	9.42337	8.58530	13.19839	15.54325	8.23415	44.87063	0.00079	65.80888	38.92461	53.47837	53.63909	9.16911	70.17267	31.40744	16.41678	78.53127	30.17158	99.37337
2018-05-05 11:07:00	359043379931766791	0.00000	13.67383	12.51515	18.27372	11.75226	13.38457	9.50933	14.09907	59.82230	0.04456	61.76892	63.22586	48.17237	63.14937	34.95118	84.42752	73.77378	67.81040	53.11940	25.66269	73.19420
2018-05-05 11:08:00	8630330696303481297	1.00000	12.40710	8.25518	14.46216	14.54661	13.17900	15.62406	13.37906	39.81136	0.01258	35.50365	67.30543	44.17618	40.78541	58.82052	50.97283	91.85660	51.97180	78.48877	31.37509	1.74552
2018-05-05 11:09:00	359043379931766122	1.00000	11.01852	13.31793	10.20759	10.46129	9.98393	15.75423	10.89256	52.21125	0.00322	52.58225	54.08094	50.73249	50.63057	60.68055	17.98486	61.58338	12.90613	57.26575	75.41218	7.69295
2018-05-05 11:10:00	359043379931766387	1.00000	11.70416	13.38838	12.54621	14.56774	7.46541	11.83458	10.51457	50.81295	0.00626	41.35820	49.70581	65.25401	55.57096	67.27059	23.41562	5.75741	72.90086	17.99637	29.14845	49.28184
2018-05-05 11:11:00	8630330696303482451	0.00000	12.94741	15.86235	12.51520	13.59309	16.00628	11.54425	16.79527	43.72485	0.02159	57.84477	54.78548	67.97822	52.57000	15.96824	6.87649	22.78689	48.85953	15.41929	69.59141	20.88600
2018-05-05 11:12:00	359043379931766262	1.00000	16.97814	9.75161	15.85872	14.92854	10.05571	12.81356	15.42340	64.86036	1.21254	45.72203	32.11433	50.95932	12.74993	14.56167	37.39481	54.59225	11.64335	90.77819	40.50623	96.53008
2018-05-05 11:13:00	3590433799317661370	1.00000	12.68003	9.36385	8.79337	12.04909	9.82881	13.82287	12.30650	46.91317	0.01654	38.16588	50.53893	35.73044	52.14219	50.28243	61.31625	25.57680	87.78610	40.49835	61.49665	8.50195
2018-05-05 11:14:00	863033069630348396	1.00000	9.74310	11.48798	12.63415	11.71625	15.59687	16.38788	5.94626	57.34469	0.00095	66.19184	72.80103	69.33493	64.88259	21.11942	81.78893	99.00430	95.74799	9.60347	4.37838	62.79724
2018-05-05 11:15:00	8630330696303481636	1.00000	17.39815	6.83368	15.86782	13.86717	9.92604	18.11011	14.95340	49.53983	1.84545	53.03289	49.90025	57.98164	53.11578	68.69382	43.35799	66.51190	67.40915	51.28758	91.98591	80.10858
2018-05-05 11:16:00	8630330696303482188	1.00000	14.31077	7.79820	15.91288	16.47544	9.32090	15.42103	14.37154	56.53205	0.08427	37.99300	83.69094	70.14829	22.36324	5.97176	92.32890	0.19176	45.46633	62.08216	36.08666	44.83948
2018-05-05 11:17:00	359043379931766429	1.00000	9.36348	5.05684	8.12641	8.00810	9.80668	13.68554	12.36230	55.54884	0.00067	51.65068	58.34549	62.49845	57.95510	34.05951	6.13128	16.61222	53.45550	19.00867	10.19840	11.80410
2018-05-05 11:18:00	863033069630348107	1.00000	8.53993	9.51722	9.84144	6.75894	11.18811	13.55879	9.44974	29.23055	0.00030	72.97738	85.68390	65.17378	58.84425	74.40427	53.82083	92.57669	14.11856	34.86114	9.81741	20.17741
2018-05-05 11:19:00	8630330696303481115	0.00000	12.07216	14.64190	13.68315	12.23480	15.08882	13.99764	16.63038	58.24946	0.00899	40.58016	67.89057	40.04746	36.29767	36.94916	44.67054	87.09472	53.08280	88.96821	76.00426	53.83018
2018-05-05 11:20:00	3590433799317661867	1.00000	11.49708	12.30777	9.68627	10.65676	7.64537	10.80789	11.98309	42.98813	0.00507	56.52200	55.23907	39.22293	60.28511	71.67998	63.64389	27.25390	46.82717	22.55314	59.72560	25.97482
2018-05-05 11:21:00	863033069630348503	0.00000	15.52203	13.52485	12.10869	7.94065	12.70578	9.78836	13.08153	46.10967	0.28270	73.53826	51.76751	73.83808	65.05269	59.49218	64.13830	84.25084	60.23592	17.17591	56.41929	80.33278
2018-05-05 11:22:00	863033069630348040	1.00000	14.26446	8.85439	7.27519	10.76160	9.88735	13.28042	12.74013	41.04708	0.08047	45.58802	63.36628	34.62295	58.37327	46.51611	5.51586	23.99592	62.17186	30.51101	37.72208	51.81147
2018-05-05 11:23:00	8630330696303482113	1.00000	12.83342	13.69942	12.33521	12.89894	16.12345	18.00760	16.75897	46.79809	0.01918	49.73393	75.04879	67.10331	47.61628	75.35575	86.41549	29.89171	63.19895	40.34622	50.12090	84.38321
2018-05-05 11:24:00	8630330696303481644	0.00000	14.31624	13.64273	10.33006	10.04500	14.93211	10.29102	14.17129	29.93199	0.08466	70.03709	66.06389	50.84431	63.66442	14.11277	5.60592	97.19924	63.74406	94.25181	29.42459	42.64433
2018-05-05 11:25:00	3590433799317661891	1.00000	13.54340	9.20293	15.33605	13.78068	9.96871	17.04203	13.52630	54.34396	0.03917	53.58851	48.51954	42.02945	51.71051	97.15118	86.70887	80.55775	13.76449	42.75740	87.45490	54.30789
2018-05-05 11:26:00	8630330696303481453	1.00000	8.69606	10.16322	12.20325	13.62638	9.11972	13.87192	9.73478	70.70962	0.00034	67.85801	44.27682	44.62410	69.41692	65.77807	52.37876	96.58726	88.57483	12.35355	21.17526	47.42366
2018-05-05 11:27:00	3590433799317661412	1.00000	14.41636	7.76460	11.06411	15.34008	10.46534	16.51664	12.12364	58.82039	0.09359	45.25618	50.75335	67.29214	48.23913	4.33776	34.35374	18.63878	55.26643	51.79498	5.01031	73.49154
2018-05-05 11:28:00	863033069630348974	1.00000	15.50148	13.23435	13.86302	15.61219	9.52543	12.13671	13.17090	68.31593	0.27699	57.02941	53.81789	62.47106	31.12970	78.45057	18.88288	98.43637	59.59338	44.85465	41.72572	63.01011
2018-05-05 11:29:00	863033069630348529	1.00000	17.91085	5.96597	16.73734	17.90806	9.73561	15.73378	17.56468	56.83751	3.08145	61.10030	42.13235	49.68022	24.80326	30.04858	75.46068	0.08002	83.91086	28.10480	89.20852	45.20909
2018-05-05 11:30:00	3590433799317662006	1.00000	16.85486	12.02965	14.74659	14.70173	8.69891	10.56233	16.69957	41.92299	1.07194	54.09765	59.47435	41.98666	43.11177	75.19445	76.67735	76.86599	64.48375	42.13335	49.70449	58.05593
2018-05-05 11:31:00	3590433799317661370	1.00000	10.83399	12.88773	12.16445	13.34228	11.18702	14.36177	8.49542	38.26880	0.00263	40.42828	55.24580	49.00572	37.92986	53.94805	94.57492	57.17966	41.08410	1.35389	30.24183	70.55517
2018-05-05 11:32:00	359043379931766668	0.00000	9.07784	10.69312	11.53070	9.66510	10.11007	14.53461	10.07536	55.92225	0.00048	67.32797	49.24527	35.73627	63.97220	43.13868	74.72025	23.20820	28.78998	19.52305	53.00678	97.79065
2018-05-05 11:33:00	863033069630348537	1.00000	7.68019	7.40828	10.56365	6.90900	10.16082	15.42138	9.00514	58.51540	0.00012	42.93016	57.74677	29.94627	64.03938	7.96276	58.63832	86.12083	36.35047	31.08501	97.09866	49.91037
2018-05-05 11:34:00	863033069630348180	1.00000	9.19766	9.93194	11.32572	10.06366	8.79483	15.47300	8.01468	63.56596	0.00055	46.54068	51.80468	65.00592	49.55042	13.28261	20.02913	22.00299	94.61103	15.54693	14.83291	55.35902
2018-05-05 11:35:00	863033069630348438	0.00000	15.30971	14.55550	12.57590	10.40335	15.94092	11.87122	14.73575	63.39376	0.22863	40.76288	46.68405	28.73722	40.48100	25.56715	17.57220	27.69236	96.76173	58.65139	50.58415	71.28943
2018-05-05 11:36:00	8630330696303482238	1.00000	15.33582	12.43771	13.98014	15.87688	7.48700	12.13295	14.34941	55.16239	0.23470	50.46911	59.98557	61.31021	34.52746	51.64945	82.38762	67.01451	23.30490	49.97838	45.13106	55.86436
2018-05-05 11:37:00	359043379931766221	0.00000	11.63847	14.59677	15.50855	10.80042	12.31599	11.95446	15.41931	15.96438	0.00589	51.80452	51.64121	47.89651	79.89311	42.03211	33.60074	86.53900	83.80120	54.69287	52.45753	96.25829
2018-05-05 11:38:00	359043379931766171	1.00000	11.05720	7.28881	8.65575	11.87498	10.81513	12.58661	10.98755	51.35148	0.00328	49.14134	60.64494	43.07463	63.13710	58.01076	71.88301	91.24438	72.48613	13.80129	55.16211	36.34151
2018-05-05 11:39:00	3590433799317661677	1.00000	12.30007	12.67645	13.40597	10.87669	10.56237	15.23482	11.65029	30.03056	0.01131	43.58647	72.71279	36.95993	94.73757	48.77590	68.88953	92.60519	12.74008	37.85201	64.82345	74.28785
2018-05-05 11:40:00	8630330696303481784	1.00000	8.40484	9.91232	12.55930	11.33253	12.49966	14.43826	11.36195	69.46217	0.00024	29.79692	60.95153	70.15472	43.72933	58.21697	71.13859	94.17512	8.95480	89.56795	27.18903	77.85062
2018-05-05 11:41:00	8630330696303482063	1.00000	10.62440	10.12403	12.05362	13.92360	11.24782	14.28179	8.13521	60.72703	0.00217	66.66184	37.06011	75.01032	50.06469	13.22137	1.64052	33.59807	73.39401	34.76812	11.49086	91.72141
2018-05-05 11:42:00	8630330696303481180	0.00000	10.48709	12.86181	10.79077	10.92335	11.14984	13.39741	11.82467	31.63606	0.00186	49.30758	54.56785	54.85803	37.95142	75.79892	80.77497	96.99563	54.90343	48.17005	66.85354	39.54551
2018-05-05 11:43:00	359043379931766973	1.00000	14.08454	12.51494	13.55487	14.50061	6.01351	14.43170	11.57455	46.04501	0.06721	49.96230	45.11757	58.36496	31.87391	85.46581	99.75855	75.90573	77.57230	49.88935	72.55821	94.78023
2018-05-05 11:44:00	863033069630348560	0.00000	16.93366	14.67909	10.28548	9.96519	12.76621	10.65036	12.05428	48.88710	1.15978	60.53139	51.88594	39.65180	37.32725	76.18065	68.91697	5.19530	44.85989	3.68195	85.78261	64.77173
2018-05-05 11:45:00	359043379931766551	0.00000	12.15942	15.74992	15.29995	10.31660	14.46648	7.19827	11.22842	46.02551	0.00980	56.97407	60.46351	53.19246	44.56502	54.47389	3.10577	30.46992	19.36173	69.06863	84.31426	45.39436
2018-05-05 11:46:00	8630330696303482287	1.00000	13.20521	12.26401	13.70761	12.27930	10.38627	16.45016	8.19767	41.41436	0.02793	71.90945	73.59667	67.59171	54.81240	22.92805	71.95281	59.98897	49.35034	91.17346	12.52108	26.25789
2018-05-05 11:47:00	863033069630348750	1.00000	9.77438	8.52536	9.25354	9.78514	8.41405	13.27489	12.86921	42.55412	0.00097	67.94256	50.54962	69.35492	32.81635	81.79182	31.01261	96.17693	51.53538	25.00971	83.21348	18.89917
